state_code,municipality_code,risk_prediction
1,1,12.177381652917688
1,5,0.6511054646658002
1,7,0.15206800183394184
1,9,0.6133494898978852
1,11,0.788216952912648
2,1,1.3250321921082027
2,2,6.6955685424394655
2,3,3.9734093174621115
2,4,28.951370484803903
2,5,2.608982890677904
3,1,1.4447466948282992
3,2,-1.5105210585090751
3,3,-1.4378700130661344
4,2,-3.9331973506260622
4,3,0.07336944422680226
4,7,0.6770474836764179
5,2,1.945624651928284
5,4,1.2589531420745863
5,6,0.786905940530538
5,7,0.8889578409321127
5,9,0.444131704002741
5,10,1.7445557315698494
5,18,8.058952993719037
5,20,2.96085441276701
5,22,0.1672784284581914
5,23,1.3943047156182196
5,24,0.21983823850892065
5,25,2.4029565752629267
5,27,10.789336360873273
5,28,1.6476357048513193
5,30,5.223281766601716
5,32,0.626482997459371
5,33,-0.3362068868975951
5,34,0.9312437512422718
5,35,14.498915605718892
6,2,-0.09189755962935113
6,5,0.3722100263347474
6,7,0.4954533586940704
6,9,-0.5126633860162986
7,9,0.038708352433887955
7,27,0.23394906389224635
7,48,1.3081256232810228
7,55,0.7272226463942002
7,61,-0.4714136848949775
7,62,0.4567460618460265
7,68,0.48421966727772464
7,74,0.3441674447923152
7,78,-0.44645307512131716
7,88,0.5714756005196414
7,89,-4.748345049525518
7,101,3.4548360782184613
7,108,-0.6721593246396377
8,1,0.7423826940706759
8,4,0.5118907879352905
8,5,0.4679792914365656
8,10,0.10911514947598042
8,17,6.48549019134454
8,19,31.548914156553778
8,21,8.205148986450185
8,28,0.756456268808164
8,32,5.0225121092808
8,36,0.2584270255144767
8,37,57.68724078873255
8,45,0.030721795272766687
8,50,1.1468579591499695
8,52,0.3799955586877004
8,53,1.086933894887152
8,65,1.4322636782988933
9,2,-0.37049275622178
9,3,-4.07733174542515
9,4,0.011959927529030351
9,5,6.010754030977015
9,6,-3.1162674668795627
9,7,-25.060871529161897
9,10,-1.5581448752465192
9,11,-6.945908271328189
9,12,-6.431246460999543
9,13,-0.3118504318597626
9,14,0.3222033074421741
9,15,-3.796832081904681
9,16,-3.0905635594351977
9,17,-5.41488781810162
10,5,-1.1203766347349218
10,7,-4.052747573875145
10,12,-0.8983418296073115
