state_code,municipality_code,risk_prediction,support_count,social_assistance_count,outpatient_consultation_count,hospitalization_count,carcinogenic_water_sources_count,water_sources_carcinogens_2B,water_sources_carcinogens_1,emission_concentration,marginalization,electricity_fuel,firewood_fuel,oil_fuel,brick_factory,stationary_risk_sources
5,31,0.4155279833726486,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,16.26944538,0.0,0.0,0.0,0.0,0.0
5,32,-1.0283475405685227,0.0,0.0,44.0,17.0,0.0,0.0,0.0,0.0,45.932904853,0.0,0.0,0.0,3.0,3.0
5,33,-1.2250041821941995,0.0,0.0,267.0,6.0,0.0,0.0,0.0,0.0,33.821845312,0.0,0.0,0.0,0.0,0.0
5,35,8.94508459795575,110.0,0.0,3415.0,501.0,0.0,0.0,0.0,7102.8068632370005,304.126909816,0.0,0.0,0.0,0.0,0.0
5,36,1.1155694587669782,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,2.8133701159999998,0.0,0.0,0.0,0.0,0.0
6,1,0.06891779598059301,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,19.545012227,0.0,0.0,0.0,0.0,0.0
6,2,3.193620125888974,295.0,5.0,752.0,102.0,0.0,0.0,0.0,0.0,108.358542042,0.0,0.0,0.0,0.0,0.0
6,3,0.7331888306024865,1.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,11.396141647,0.0,0.0,0.0,0.0,0.0
6,4,0.6280682757433169,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,11.230448589,0.0,0.0,0.0,0.0,0.0
6,5,0.4055042681601778,0.0,0.0,91.0,0.0,0.0,0.0,0.0,4.5777,17.110985824,0.0,0.0,0.0,0.0,0.0
6,6,0.3885223635224868,0.0,0.0,91.0,10.0,0.0,0.0,0.0,4.10805,3.7850753690000003,0.0,0.0,0.0,0.0,0.0
6,7,0.7419190420689401,48.0,3.0,1724.0,121.0,0.0,0.0,0.0,114571.2764,122.52553352199999,0.0,0.0,0.0,0.0,0.0
6,8,0.2001015954785832,0.0,0.0,123.0,0.0,0.0,0.0,0.0,975.971,4.659695023,0.0,0.0,0.0,0.0,0.0
6,9,-2.5394923285563222,34.0,2.0,691.0,35.0,0.0,0.0,0.0,1633.1829999999998,69.133744147,0.0,0.0,0.0,0.0,0.0
6,10,-5.45996176777652,9.0,0.0,113.0,10.0,0.0,0.0,0.0,0.0,107.582211802,0.0,0.0,0.0,0.0,0.0
7,2,0.37694816758674526,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,7.980216846,0.0,0.0,0.0,0.0,0.0
7,5,0.30492688625446196,1.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,2.568524533,0.0,0.0,0.0,0.0,0.0
7,6,0.32053219992245874,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,5.492916089,0.0,0.0,0.0,0.0,0.0
7,9,-0.5160142082102516,0.0,0.0,129.0,1.0,0.0,0.0,0.0,1.1049,18.191503837,0.0,0.0,0.0,0.0,0.0
7,12,2.176583620285816,0.0,1.0,24.0,3.0,0.0,0.0,0.0,0.0,28.766300752,0.0,0.0,0.0,0.0,0.0
7,15,0.00806292789905033,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,22.411509898,0.0,0.0,0.0,0.0,0.0
7,17,-2.0627020681344685,0.0,0.0,122.0,9.0,0.0,0.0,0.0,0.0,21.646074944,0.0,0.0,0.0,0.0,0.0
7,19,-0.8437338244273053,0.0,1.0,279.0,89.0,0.0,0.0,0.0,0.0,69.834473698,0.0,0.0,0.0,0.0,0.0
7,20,0.07556950223305013,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,9.925602562,0.0,0.0,0.0,0.0,0.0
7,21,0.7813758945976979,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,4.527662709,0.0,0.0,0.0,0.0,0.0
