state_code,municipality_code,risk_prediction,year,support_count,social_assistance_count,outpatient_consultation_count,hospitalization_count,carcinogenic_water_sources_count,water_sources_carcinogens_2B,water_sources_carcinogens_1,emission_concentration,marginalization,electricity_fuel,firewood_fuel,oil_fuel,brick_factory,stationary_risk_sources
1,3,-0.27746555668269307,2018,5.0,3.0,142.0,14.0,0.0,0.0,0.0,0.0,15.096416014999997,0.0,0.0,0.0,0.0,0.0
1,3,-0.27746555668269307,2019,5.0,3.0,142.0,14.0,0.0,0.0,0.0,0.0,15.096416014999999,0.0,0.0,0.0,0.0,0.0
1,3,-0.274588834126058,2020,5.0,3.0,143.0,14.0,0.0,0.0,0.0,0.0,15.096416014999999,0.0,0.0,0.0,0.0,0.0
1,3,-0.274588834126058,2021,5.0,3.0,143.0,14.0,0.0,0.0,0.0,0.0,15.096416014999999,0.0,0.0,0.0,0.0,0.0
1,3,-0.274588834126058,2022,5.0,3.0,143.0,14.0,0.0,0.0,0.0,0.0,15.096416014999999,0.0,0.0,0.0,0.0,0.0
1,4,0.43229108011611606,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,0.8846688741022309,2012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,0.8846688741022309,2014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,0.8846688741022309,2015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,1.2613828219415055,2016,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,1.7997889515305037,2017,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,1.7997889515305037,2019,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,1.7997889515305037,2020,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,4,1.7997889515305037,2021,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.651889055999999,0.0,0.0,0.0,0.0,0.0
1,4,1.7997889515305037,2022,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0
1,5,0.44024380011454084,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29035905,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.8414683598669224,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96380729,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.6271738825164537,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311448,38.187059940999994,0.0,0.0,0.0,0.0,0.0
1,5,0.5942910804910183,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6647793099999997,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.9701304786355068,2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1801,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.8066585562109981,2015,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.3763,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.828974861661159,2016,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.3762999999999999,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.2639686426768035,2017,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.1597403179105351,2018,0.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.1597403179105351,2019,0.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.8999286605505249,2020,0.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.8999286605505249,2021,0.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0
1,5,0.8999286605505249,2022,0.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0
1,6,0.7385728061403747,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,0.7385728061403747,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,0.42734914582238076,2015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,1.7470825421650042,2016,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,0.5377390980603327,2017,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,0.5377390980603327,2018,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,0.5276589418416464,2020,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,0.5276589418416464,2021,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,6,0.5276589418416464,2022,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0
1,7,0.3032395808041269,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,0.19504144170752957,2012,10.0,5.0,0.0,10.0,0.0,0.0,0.0,1.66854,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,0.14204671022497778,2013,10.0,5.0,0.0,11.0,0.0,0.0,0.0,1.15496,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,0.3077709044146908,2014,10.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,0.3077709044146908,2015,10.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,-0.03412739879799202,2016,10.0,5.0,36.0,11.0,0.0,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,0.14977639914627208,2017,10.0,5.0,61.0,11.0,0.0,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,0.14977639914627208,2018,10.0,5.0,61.0,11.0,0.0,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,-0.2805540578405617,2021,10.0,5.0,70.0,11.0,0.0,0.0,0.0,2.3516,14.308851831,0.0,0.0,0.0,0.0,0.0
1,7,-0.2537617891924097,2022,10.0,5.0,70.0,11.0,0.0,0.0,0.0,2.0728,14.308851831,0.0,0.0,0.0,0.0,0.0
1,8,0.9400187089541674,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.687386775,0.0,0.0,0.0,0.0,0.0
1,8,0.7234607540903565,2017,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,5.687386775,0.0,0.0,0.0,0.0,0.0
1,8,0.7234607540903565,2019,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,5.687386775,0.0,0.0,0.0,0.0,0.0
1,9,0.6545860807603741,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.070865,6.597585188,0.0,0.0,0.0,0.0,0.0
1,9,0.5892811936139551,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7314800000000001,6.597585188,0.0,0.0,0.0,0.0,0.0
1,9,0.7138671336947582,2012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.39436,6.597585188,0.0,0.0,0.0,0.0,0.0
1,9,0.9189846126709885,2015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4,6.597585188,0.0,0.0,0.0,0.0,0.0
1,9,1.3728410481118016,2019,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,6.597585188,0.0,0.0,0.0,0.0,0.0
1,9,1.4062635816721736,2021,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,6.597585188,0.0,0.0,0.0,0.0,0.0
1,10,0.46787459516098984,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.808178543,0.0,0.0,0.0,0.0,0.0
1,10,0.46787459516098984,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.808178543,0.0,0.0,0.0,0.0,0.0
1,10,0.7792702229881957,2016,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.808178543,0.0,0.0,0.0,0.0,0.0
1,11,1.0175567906345764,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5187553,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,0.6919173356191797,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14713095,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,0.4742377351226034,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095653958,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,0.8456540125810098,2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.19268,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,3.1541590050091326,2015,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.31768,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,1.60879863579025,2016,0.0,2.0,4.0,0.0,0.0,0.0,0.0,11.38488,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,1.83351527427737,2018,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.32,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,1.83351527427737,2019,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.32,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,0.8122289439748304,2020,0.0,2.0,8.0,0.0,0.0,0.0,0.0,43.8088,17.992767397,0.0,0.0,0.0,0.0,0.0
1,11,1.327767859301995,2022,0.0,2.0,8.0,0.0,0.0,0.0,0.0,2.9779999999999998,17.992767397,0.0,0.0,0.0,0.0,0.0
2,1,8.721775355231529,2009,0.0,0.0,9.0,121.0,6.0,0.0116,0.0,4955.676517,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,5.150891629234927,2010,0.0,0.0,33.0,133.0,6.0,0.0116,0.0,4583.658927398,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,5.511732416394218,2011,0.0,0.0,39.0,136.0,6.0,0.0116,0.0,6766.7433875,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,24.292374507510367,2012,4.0,0.0,47.0,140.0,6.0,0.0116,0.0,8627.654463733,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,19.04363155249318,2013,10.0,0.0,50.0,140.0,6.0,0.0116,0.0,13314.21470003,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,30.35511249456934,2014,10.0,0.0,80.0,146.0,6.0,0.0116,0.0,2742.3498999999997,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,19.972160226289915,2015,10.0,0.0,80.0,146.0,6.0,0.0116,0.0,13022.633193986,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,24.69158806581973,2016,102.0,0.0,8360.0,238.0,6.0,0.0116,0.0,4704.50362156,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,27.202755173786173,2017,102.0,0.0,8844.0,238.0,6.0,0.0116,0.0,15846.61030156,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,25.268565083587564,2018,102.0,0.0,8976.0,250.0,6.0,0.0116,0.0,36340.38258,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,19.785247564366646,2019,102.0,0.0,8980.0,250.0,6.0,0.0116,0.0,29031.5396385,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,6.269403174376224,2020,123.0,0.0,9001.0,257.0,6.0,0.0116,0.0,27900.167879999997,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,-3.864629478048171,2021,123.0,0.0,9009.0,265.0,6.0,0.0116,0.0,2333.26188,258.000464494,0.0,0.0,0.0,1.0,3.0
2,1,4.188303358209656,2022,123.0,0.0,9009.0,265.0,6.0,0.0116,0.0,4861.316363911,258.000464494,0.0,0.0,0.0,1.0,3.0
2,2,43.78000381928905,2009,0.0,0.0,27.0,450.0,2.0,0.0,0.032,56534.951157796,475.253701585,0.0,0.0,0.0,4.0,6.0
2,2,44.95556578737711,2010,0.0,0.0,29.0,452.0,2.0,0.0,0.032,217923.4806240584,475.25370158500004,0.0,0.0,0.0,4.0,6.0
2,2,67.31971654292465,2011,0.0,0.0,139.0,463.0,2.0,0.0,0.032,315422.52449018956,475.253701585,0.0,0.0,0.0,4.0,6.0
