state_code,municipality_code,year,smr,support,social_assistance,outpatient_consultation,hospitalization,support_cumsum,social_assistance_cumsum,outpatient_consultation_cumsum,hospitalization_cumsum,risk_count,risk_concentration_sure,risk_concentration_possible,st_risk,concentration,electricity_fuel,firewood_fuel,oil_fuel,IMN_2020,dumps,biomass,carpentry,cement_gypsum,sugarcane_cultivation,chemical_manufacturing,pesticide_manufacturing,gas_stations,incinerator,sugar_mill,brick_factory,mining,paper_mill,solvent_paint,high_traffic_supply,high_traffic_alameda,high_traffic_station,ndeaths_y,ed,population,excess,support_metric,social_assistance_metric,outpatient_metric,hospitalization_metric,health,support_exp,social_assistance_exp,outpatient_consultation_exp,hospitalization_exp,support_cumsum_exp,social_assistance_cumsum_exp,outpatient_consultation_cumsum_exp,hospitalization_cumsum_exp,risk_count_exp,risk_concentration_sure_exp,risk_concentration_possible_exp,st_risk_exp,concentration_exp,electricity_fuel_exp,firewood_fuel_exp,oil_fuel_exp,IMN_2020_exp,dumps_exp,biomass_exp,carpentry_exp,cement_gypsum_exp,sugarcane_cultivation_exp,chemical_manufacturing_exp,pesticide_manufacturing_exp,gas_stations_exp,incinerator_exp,sugar_mill_exp,brick_factory_exp,mining_exp,paper_mill_exp,solvent_paint_exp,high_traffic_supply_exp,high_traffic_alameda_exp,high_traffic_station_exp,support_metric_exp,social_assistance_metric_exp,outpatient_metric_exp,hospitalization_metric_exp,health_exp,next_excess
1,1,2022,-101.78272279643926,0.0,0.0,0.0,0.0,169.0,84.0,4353.0,733.0,0.0,0.0,0.0,0.0,26128.47503,0.0,0.0,0.0,311.032114597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,389782.72279643925,933295,-101.78272279643926,65873280.15259823,32741748.714900896,1696724192.3329,285710735.80978996,2081049957.010189,6.141526192545963,2.5146951448011907,160.69585861226474,25.57703226480201,52.3110023416267,36.22079224877737,1299.7786863669696,247.03638696876178,0.0,0.0,0.0,0.0,3847.0622115901456,0.0,0.0,0.0,311.032114597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20945901.18000907,13267093.61305419,538116564.9946593,97253057.50617023,669582617.2938929,-101.78272279643926
1,2,2022,0.1952403863207397,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.05202885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1804.7596136792604,447,0.1952403863207397,0.0,0.0,128137.93257122749,0.0,128137.93257122749,0.0,0.0,2.55768528203125,0.0,0.0,0.0,15.78815262578125,0.0,0.0,0.0,0.0,0.0,253.4271686345023,0.0,0.0,0.0,15.05202885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26172.260964544992,0.0,26172.260964544992,0.1952403863207397
1,3,2022,-0.6325826279274018,0.0,0.0,0.0,0.0,5.0,3.0,143.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.096416014999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4632.5826279274015,1255,-0.6325826279274018,23162.913139637007,13897.747883782205,662459.3157936184,64856.15679098362,764376.1336080213,0.15964427049513175,0.0898105408857568,5.456393943585546,0.5153900565107569,1.9667588605924948,1.2935997231706202,39.32851507187461,4.207588926295621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.096416014999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5725.200557996997,3671.993877392204,127027.81098374474,13196.367042861248,149621.37246199523,-0.6325826279274018
1,4,2022,0.44816979390956624,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,551.8302060904338,180,0.44816979390956624,0.0,551.8302060904338,1103.6604121808675,0.0,1655.4906182713012,0.0,0.03317102156445312,0.07941435937500001,0.0,0.0,0.3697505902753906,0.49112717187500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651889056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.78464235280916,297.0998602448167,0.0,473.8845025976258,0.44816979390956624
1,5,2022,0.007530998498954222,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2992.4690015010456,2018,0.007530998498954222,0.0,0.0,110721.35305553868,5984.938003002091,116706.29105854078,0.0,0.0,1.413658655783203,0.081450625,0.0,0.0,10.14048554011914,0.4524381250000001,0.0,0.0,0.0,0.0,3.0856811958165795,0.0,0.0,0.0,38.187059941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35289.19855017183,1482.535094572863,36771.73364474469,0.007530998498954222
1,6,2022,0.5734365490938629,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2426.563450906137,1103,0.5734365490938629,0.0,0.0,36398.45176359206,2426.563450906137,38825.01521449819,0.0,0.0,0.6031635945312501,0.0,0.0,0.0,3.53989170390625,0.30166270390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.361300928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6925.508570439964,581.5237508244957,7507.032321264459,0.5734365490938629
1,7,2022,-0.043468058078683036,0.0,0.0,0.0,0.0,10.0,5.0,70.0,11.0,0.0,0.0,0.0,0.0,2.0728,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3043.468058078683,1218,-0.043468058078683036,30434.68058078683,15217.340290393415,213042.7640655078,33478.14863886551,292172.9335755535,0.3317102156445312,0.1658551078222656,2.53783,0.3666270804492187,3.6975059027539063,1.8487529513769532,13.658730000000002,4.034085471464845,0.0,0.0,0.0,0.0,0.3110157584959745,0.0,0.0,0.0,14.308851831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4145.904692888937,2072.9523464444683,17909.95711467966,4549.047907677156,28677.86206169022,-0.043468058078683036
1,11,2022,0.4238948713268845,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.9779999999999998,0.0,0.0,0.0,17.992767397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,576.1051286731155,144,0.4238948713268845,0.0,1152.210257346231,4608.841029384924,0.0,5761.0512867311545,0.0,0.081450625,0.12013967187499996,0.0,0.0,0.4524381250000001,1.7609839382812502,0.0,0.0,0.0,0.0,0.0,4.99780399529814,0.0,0.0,0.0,17.992767397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.3551248310849,2465.224864608255,0.0,3153.57998943934,0.4238948713268845
2,1,2022,0.09029724657182214,0.0,0.0,0.0,0.0,123.0,0.0,9009.0,265.0,6.0,0.0,0.0116,3.0,4861.316363911,0.0,0.0,0.0,258.000464494,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93,92909.70275342818,198009,0.09029724657182214,11427893.438671667,0.0,837023512.1056345,24621071.22965847,873072476.7739646,4.637869907640058,0.0,336.69669637273125,5.294311030548446,34.880471754838894,0.0,2699.5442651589015,164.40809041957948,6.0,0.0,0.0116,3.0,9207.18193360382,0.0,0.0,0.0,258.000464494,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3539344.193585937,0.0,274468152.67903,11709808.870473746,289717305.74308974,0.09029724657182214
2,2,2022,-26.536211297271734,0.0,0.0,0.0,0.0,300.0,9.0,9703.0,626.0,2.0,0.032,0.0,6.0,13541.567,0.0,0.0,0.0,475.253701585,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,585,611536.2112972718,1404704,-26.536211297271734,183460863.38918152,5503825.901675446,5933735858.217428,382821668.2720921,6505522215.780377,11.262271053126824,0.2793916583428076,374.09161192086236,222.5840694468157,86.0168499905903,3.6915584914866555,2800.0828647321378,493.37250508095104,2.0,0.032,0.0,6.0,52831.94022769456,0.0,0.0,0.0,475.25370158499993,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,47283869.57022783,1797035.0108999505,1568880557.9450428,188726911.73199672,1806688374.2581668,-26.536211297271734
